dataId,dataLyricsId,title,lyrics,link,linkPage,time
132187469,false,Пусть моя судьба сейчас решится,,https://data.zvyki.com/listen/132187469/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobW02alRTaWt1K08zK25oZkNrbDlQbmhZTEZpMWlQS0V0N2d1TERONjNrdmxlZWlXSzBvNnhyb1ZGRXZ1NkUvdVZQVjg0VldBelR2K3pGN1d1RWRQYi8/Ivan_Ozhogin_-_Pust_moya_sudba_sejchas_reshitsya_(Zvyki.com).mp3,zvyki.com/song/132187469/Ivan_Ozhogin_-_Pust_moya_sudba_sejchas_reshitsya/,00:52
132690618,false,Бог мертв (из Бала Вампиров),,https://data.zvyki.com/listen/132690618/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobWFPb1lQRjBmblNHK0xHTHJyb3FlWGFWZ0N0clFQVGFkRlRzZUJYdzY4bER5NDFTMDJvM0MxV0JxeU5EKytCRGVYblRTRzN3bS9LckZFRFNKTHhaY1A/Ivan_Ozhogin_-_Bog_mertv_iz_Bala_Vampirov_(Zvyki.com).mp3,zvyki.com/song/132690618/Ivan_Ozhogin_-_Bog_mertv_iz_Bala_Vampirov/,01:55
132690746,false,На балу 26.08.13,,https://data.zvyki.com/listen/132690746/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobUxEZE82MzR6a25XdjV5RUFrelR2clB3cFQ5clF4RnhhYWhHMmNBME1hL0RveVNLYWkwS29SRko3MHhxYWtLYys1elJpcnJRK0M3M0xTdFZRcXBsenk/Ivan_Ozhogin_-_Na_balu_26.08.13_(Zvyki.com).mp3,zvyki.com/song/132690746/Ivan_Ozhogin_-_Na_balu_26.08.13/,06:25
134328690,false,My BroadWay.. 05.12.13,,https://data.zvyki.com/listen/134328690/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobXcxZHAzdVVmckFyUURXL21IeWJGRkpuSFRDWlY0Yk5VNFhWaktjYzRzanJWM1dUaFljYkh4eDdIbCtOaHZybjJXUG5PbDE1aVF2cUpuWWw3SnpqRXE/Ivan_Ozhogin_-_My_BroadWay.._05.12.13_(Zvyki.com).mp3,zvyki.com/song/134328690/Ivan_Ozhogin_-_My_BroadWay.._05.12.13/,02:00
134627040,false,Приглашение на бал,,https://data.zvyki.com/listen/134627040/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobkVzVk9VYW4rQW9KUVhkaE9Zcmlpd3dQdTBBdFZpVitDalpoZUtaaFE3TlV4c1pTUkxGREVTQXpBMFh4VUJLQ2pJSU8yL1VkU1oxQlhoRm1IMlVodmg/Ivan_Ozhogin_-_Priglashenie_na_bal_(Zvyki.com).mp3,zvyki.com/song/134627040/Ivan_Ozhogin_-_Priglashenie_na_bal/,02:21
134731870,302905953,Ой при лужку,"Новогодний вечер в ""Чаплин-Холл"" в сопровождении Эссе-Квинтета, 17.12.2014 г.",https://data.zvyki.com/listen/134731870/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobmZqbHA3eWFCY3BCNXJ6SGRFUnNSS05HaC9KVW10dVBGSVNnNlFNZHdObU9vZDBUSFVVclhTRWh5VGJBVmF4bDdTWk0yTGpDVkFZbGNDd2Rqd1hWa20/Ivan_Ozhogin_-_Oj_pri_luzhku_(Zvyki.com).mp3,zvyki.com/song/134731870/Ivan_Ozhogin_-_Oj_pri_luzhku/,04:11
134897008,false,Ответ Онегина на письмо Татьяны,,https://data.zvyki.com/listen/134897008/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoazV1S21LL05XV3Q1SUJEQy8xS0lGRXh3YjBpbllsVkZXQ3lXcndZQWdRcmJXV0FuTENWelFKYjNBMjZtTkRabHdTdzZ5d1JnWFFGZXhtZzlUVEZwcTQ/Ivan_Ozhogin_-_Otvet_Onegina_na_pismo_Tatyany_(Zvyki.com).mp3,zvyki.com/song/134897008/Ivan_Ozhogin_-_Otvet_Onegina_na_pismo_Tatyany/,03:32
134897010,424080507,Онегин - Коварство чувств (Lyric),"Куплет:
Столько светских львиц вокруг, юных дев и дам.
Недоступность ваша девственная мне нужна!
Пусть запретный плод страстей волю даст мечтам!
Слабость первой жертвы выпью, как бокал вина!

Припев:
Добиться тайного свидания...
Умом и страстью побеждать...
А после ей наедине
Давать уроки в тишине...

Куплет:
Как во мятежен дух! И одним дыша,
Знать хочу науку страсти нежной твёрже всех!
Очарована умом, пусть горит душа –
Хладнокровно приготовил я соблазнов сеть.

Припев:
Добиться тайного свидания...
Умом и страстью побеждать...
А после ей наедине
Давать уроки в тишине...",https://data.zvyki.com/listen/134897010/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoazV1S21LL05XV3Q1SUJEQy8xS0lGRUJjMDJ4cldtajJ2NkplWk43bDlVMFdxaG94cTlwS0VCcnR1MXc3T2VjSUNGejN5d2hMaWwyRzFEVzhuVW9oK04/Ivan_Ozhogin_-_Onegin_-_Kovarstvo_chuvstv_Lyric_(Zvyki.com).mp3,zvyki.com/song/134897010/Ivan_Ozhogin_-_Onegin_-_Kovarstvo_chuvstv_Lyric/,02:36
135084169,427043308,L'assasymphonie,"В эту ночь
Невыносимая бессонница
Безумие меня подстерегает,
Я убегаю сам от себя.

Я подчиняюсь
Этой какофонии,
Которая разрывает мне голову
Бессмысленной гармонией.

Она мне говорит,
Что я заплачу за все свои преступления,
Которые совершил,
Тянем свои цепи,
Свои огорчения.

Я посвящаю свои ночи
Симфонии
Реквиема,
Убивая с досадой то,
Что сам посеял

Я посвящаю свои ночи
Симфонии
И кощунству
Я признаю, — я проклинаю
Всех тех, кто любит.

Враг,
Затаившийся в моем разуме,
Празднуй мои поражения,
Без промедления бросай мне вызов.

Я отвергаю
Фатальную ересь,
Которая терзает мою сущность
Я хочу возродиться,
Переродиться.

Я посвящаю свои ночи
Симфонии
Реквиема,
Убивая с досадой то,
Что сам посеял

Я посвящаю свои ночи
Симфонии
И кощунствам
Я признаю, — я проклинаю
Всех тех, кто любит.

Оплакивают скрипки моей жизни
Насилие моих желаний —
Мелодия симфонии,

Обескураживающий концерт,
Я играю, не касаясь прекрасного,
Мой талант играет, как подделка.

Я утоплю скуку
в меломании,
Я убиваю свои страхи
в дисгармонии,

Я посвящаю свои ночи
Симфонии
Реквиема,
Убивая с досадой то,
Что сам посеял

Я посвящаю свои ночи
Симфонии
И кощунствам
Я признаю, — я проклинаю
Всех тех, кто любит.

Я посвящаю свои ночи
Симфонии
Я признаю, — я проклинаю
Всех тех, кто любит.",https://data.zvyki.com/listen/135084169/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobDNlQmlKU3VjeGsvRllGWjhQc2U0Tkx6ZEFTWXdzalQyNmo3UXJFeVcrdWlBU2dibGFWWngrUHJPNVpMaGJtOHFlZ0ljZU9nYjNyZVQ3TW90Zkg3Slc/Ivan_Ozhogin_-_L_assasymphonie_(Zvyki.com).mp3,zvyki.com/song/135084169/Ivan_Ozhogin_-_L_assasymphonie/,03:43
135272386,false,Путь,,https://data.zvyki.com/listen/135272386/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobDdPREt5cGQveWIyVlJBY1hBZFJFZi9oUVg2OWNaVDFqaCttVWt2ZC9PQ1JUWWZxSyt1U05WUWdJdDU0bHlDTlZBOEhSYXNKSEpZbE1PL3dUZldVUkc/Ivan_Ozhogin_-_Put_(Zvyki.com).mp3,zvyki.com/song/135272386/Ivan_Ozhogin_-_Put/,02:05
135272387,427043416,Мой путь,"Мой путь, моя судьба
Надежд ошибок и сомнений.
Мой путь, что выбрал я,
Я вспомнил вновь без сожалений.
Я жил, и сладок был
Соленый вкус аплодисментов.
Влюблялся и любил -
Это был мой путь.

Был час, когда упал
И надо мной звенела вьюга.
Был день, когда узнал
Любовь врага и зависть друга.
Я шел, боль затая,
Смеялся я и горько плакал.
Промчалась жизнь моя -
Это был мой путь.

Припев:
Продлись, мой путь
На светлый миг, 
На теплый дождь,
На птичий крик,
На нежный взор,
На вздох любви,
И музыку мою продли!
Я не жалею ни о чем -
Это был мой путь!

Мой путь, моя судьба,
дорога грез, тропинка счастья.
Я сам себе судья,
И надо мной никто не властен.
Пусть мир был так жесток,
А жизнь моя была прекрасна,
Дай Бог еще глоток -
Это был мой путь.

Припев:
Продлись мой путь
На светлый миг,
На теплый дождь,
На птичий крик,
На нежный взор,
На вздох любви,
И музыку мою продли!
Я не жалею ни о чем -
Это был мой путь!

Да, это мой путь...",https://data.zvyki.com/listen/135272387/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobDdPREt5cGQveWIyVlJBY1hBZFJFZkFTSWxXWkx2QjFJSlluaTcxQ3NOZG1VeHNTWFRLaVZlWVQzbmMzZmg0ZXZzRVpSWFhKclZBSDdMZzdUR3BGL3Y/Ivan_Ozhogin_-_Moj_put_(Zvyki.com).mp3,zvyki.com/song/135272387/Ivan_Ozhogin_-_Moj_put/,04:30
135351016,false,Я должен знать,,https://data.zvyki.com/listen/135351016/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa0RPRXVCYnZVaXBpNjBmbUxRSzJKcHhseWFaV2JNSEZ2eUV3R1p1N1ZmNVhsU2U1R2NzVG5pTTJEd0JCVUFkd25haTJCMU5ENHREMEhBYzE1Vzl2UkU/Ivan_Ozhogin_-_YA_dolzhen_znat_(Zvyki.com).mp3,zvyki.com/song/135351016/Ivan_Ozhogin_-_YA_dolzhen_znat/,02:22
135526346,427086153,Маятник времен/Первая встреча,"Маятник времен замри,
Боль твоя внутри
Сокрыта.
Словно белый лист чиста,
Как кувшин пуста -
Донна Маргарита.
В царственную кровь и страх и любовь
Добавлю я, освобожу от боли.
Моей чарующей звездой
Ты будешь век со мной,
Покорна темной воле.

Как же Бог при свете дня
Пропустил тебя? Не знаю!
Грянет наш великий бал!
Та, что я искал - ключ к воротам рая.
Больше нет преград - безумствует Ад,
До торжества осталось так немного.
Мне все известно наперед,
Чья в этот раз возьмет!
Ничтожны шансы Бога.",https://data.zvyki.com/listen/135526346/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa2MrVmFlWkZVQTZ3S3hXY3lDd21JN21UeXlRektJN3lLeEtJMW1DejMrT016bXVWcjFwYlJHc0dsMTlsdmlrV2dTUlFoWXFERFpBZjdxbTJldGtWa3Y/Ivan_Ozhogin_-_Mayatnik_vremen_Pervaya_vstrecha_(Zvyki.com).mp3,zvyki.com/song/135526346/Ivan_Ozhogin_-_Mayatnik_vremen_Pervaya_vstrecha/,04:06
135618337,false,Конфронтация,,https://data.zvyki.com/listen/135618337/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRobWV0akx3TlVaMUo3SDdrWk9xbVphTTZHUFJMa3pwUnQrMGlkR1dXVFR0KzRRTG5YMWo5SEdicUYyNCtaU3ZMN1FFY2V3UUw1eUQ1NVFzUEc5MUkrRmU/Ivan_Ozhogin_-_Konfrontaciya_(Zvyki.com).mp3,zvyki.com/song/135618337/Ivan_Ozhogin_-_Konfrontaciya/,03:03
136194255,false,Отец,,https://data.zvyki.com/listen/136194255/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoazh1STRSbXJBcW9SY2lrc2JHRjR1Ynd4YnpLOWlTS3dGakV6Ui9yZFBGVklaczY1NUIxSlMxOUc1VzFXSVZDUng0bjB2V2t0Tnh4MTA2ODJsbFhOMHY/Ivan_Ozhogin_-_Otec_(Zvyki.com).mp3,zvyki.com/song/136194255/Ivan_Ozhogin_-_Otec/,03:54
136644071,false,"Любимая, спи",,https://data.zvyki.com/listen/136644071/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa3llNGFtbk51VGh3T2tCTFplSnZhNFJ1dWhZZWEwbXNOWURBL0h1aFNQRXducXdiYURmMUlUTzBNbVdyQ0ZCWVI3MEVQZmF1dGw1S0dkVkpqd2JhMmE/Ivan_Ozhogin_-_Lyubimaya_spi_(Zvyki.com).mp3,zvyki.com/song/136644071/Ivan_Ozhogin_-_Lyubimaya_spi/,04:27
136644072,false,"Любимая, спи (28.01.2017, Романс)",,https://data.zvyki.com/listen/136644072/UUdlRUlUZnFjaTZhN3dqbkgxK2crTWJMYkN6VUsxTmVadmxSUTFIRTRoa3llNGFtbk51VGh3T2tCTFplSnZhNDUxcUhoTGVmb0tmeTdTSHNCRjJvT1ZjbEZQZVlaT2JIZ0pwTHc3OG1FcENYd0lsSXVma3M1WUVWeGlwT1E0c0E/Ivan_Ozhogin_-_Lyubimaya_spi_28.01.2017_Romans_(Zvyki.com).mp3,zvyki.com/song/136644072/Ivan_Ozhogin_-_Lyubimaya_spi_28.01.2017_Romans/,04:27
